trace,method,beat,budget_ms,solve_ms,timeout,iter,gear,err
traceA,fixed20,238,210.0,232.2,1,8,,358.9747
traceA,fixed20,239,210.0,231.9,1,8,,367.4903
traceA,fixed20,240,209.1,231.1,1,8,,376.0951
traceA,fixed20,241,209.4,232.3,1,8,,384.7801
traceA,fixed20,242,207.4,231.2,1,8,,393.5444
traceA,fixed20,243,207.0,232.0,1,8,,402.3895
traceA,fixed20,244,208.7,232.3,1,8,,411.3075
traceA,fixed20,245,209.9,231.8,1,8,,420.3095
traceA,fixed20,246,209.9,233.0,1,8,,429.3827
traceA,fixed20,247,210.0,213.8,1,7,,438.5376
traceA,fixed20,248,206.1,234.2,1,8,,447.7691
traceA,fixed20,249,210.0,232.9,1,8,,457.0726
traceA,fixed20,250,209.4,231.8,1,8,,466.4523
traceA,fixed20,251,209.9,231.4,1,8,,475.8985
traceA,fixed20,252,209.9,232.3,1,8,,485.4225
traceA,fixed20,253,209.4,232.2,1,8,,495.0127
traceA,fixed20,254,209.9,231.7,1,8,,504.6767
traceA,fixed20,255,209.9,232.2,1,8,,514.4131
traceA,fixed20,256,210.0,231.6,1,8,,524.2143
traceA,fixed20,257,210.0,232.1,1,8,,534.0867
traceA,fixed20,258,210.0,231.4,1,8,,544.0190
traceA,fixed20,259,208.2,235.0,1,8,,554.0225
traceA,fixed20,260,210.1,232.3,1,8,,564.0873
traceA,fixed20,261,210.1,232.0,1,8,,574.2175
traceA,fixed20,262,210.1,230.8,1,8,,584.4157
traceA,fixed20,263,210.1,231.5,1,8,,594.6714
traceA,fixed20,264,210.1,231.3,1,8,,604.9926
traceA,fixed20,265,207.2,232.1,1,8,,615.3678
traceA,fixed20,266,210.1,230.9,1,8,,625.8065
traceA,fixed20,267,210.0,231.1,1,8,,636.3019
traceA,fixed20,268,210.1,232.6,1,8,,646.8541
traceA,fixed20,269,210.1,232.5,1,8,,657.4693
traceA,fixed20,270,210.1,231.3,1,8,,668.1352
traceA,fixed20,271,210.1,232.1,1,8,,678.8601
traceA,fixed20,272,208.2,231.7,1,8,,689.6333
traceA,fixed20,273,210.1,231.5,1,8,,700.4619
traceA,fixed20,274,206.5,230.4,1,8,,711.3425
traceA,fixed20,275,203.6,230.5,1,8,,722.2715
traceA,fixed20,276,210.1,229.5,1,8,,733.2579
traceA,fixed20,277,210.1,232.5,1,8,,744.2883
traceA,fixed20,278,209.0,231.4,1,8,,755.3708
traceA,fixed20,279,210.1,231.2,1,8,,766.4961
traceA,fixed20,280,159.6,230.0,1,8,,777.6686
traceA,fixed20,281,210.0,231.8,1,8,,788.8881
traceA,fixed20,282,210.0,231.9,1,8,,800.1478
traceA,fixed20,283,209.5,231.5,1,8,,811.4585
traceA,fixed20,284,210.0,230.8,1,8,,822.8073
traceA,fixed20,285,210.0,230.3,1,8,,834.2005
traceA,fixed20,286,210.0,232.2,1,8,,845.6314
traceA,fixed20,287,210.0,232.2,1,8,,857.1008
traceA,fixed20,288,210.0,231.1,1,8,,868.6122
traceA,fixed20,289,210.1,231.6,1,8,,880.1560
traceA,fixed20,290,209.6,232.9,1,8,,891.7440
traceA,fixed20,291,210.1,231.3,1,8,,903.3643
traceA,fixed20,292,208.8,231.1,1,8,,915.0211
traceA,fixed20,293,210.1,231.6,1,8,,926.7105
traceA,fixed20,294,210.0,230.9,1,8,,938.4301
traceA,fixed20,295,210.1,231.0,1,8,,950.1861
traceA,fixed20,296,208.8,229.7,1,8,,961.9672
traceA,fixed20,297,207.1,230.9,1,8,,973.7850
traceA,fixed20,298,210.0,230.5,1,8,,985.6300
traceA,fixed20,299,210.1,220.1,1,8,,997.5032
traceA,fixed20,300,208.9,230.3,1,8,,1009.4041
traceA,fixed20,301,209.9,234.0,1,8,,1021.3269
traceA,fixed20,302,209.9,234.6,1,8,,1033.2802
traceA,fixed20,303,208.4,232.8,1,8,,1045.2520
traceA,fixed20,304,210.1,231.5,1,8,,1057.2526
traceA,fixed20,305,210.0,231.2,1,8,,1069.2754
traceA,fixed20,306,210.1,230.8,1,8,,1081.3181
traceA,fixed20,307,178.7,232.2,1,8,,1093.3836
traceA,fixed20,308,209.7,230.9,1,8,,1105.4632
traceA,fixed20,309,210.0,232.6,1,8,,1117.5671
traceA,fixed20,310,207.5,230.7,1,8,,1129.6833
traceA,fixed20,311,209.0,232.5,1,8,,1141.8201
traceA,fixed20,312,207.8,231.1,1,8,,1153.9744
traceA,fixed20,313,209.9,230.8,1,8,,1166.1406
traceA,fixed20,314,208.4,230.9,1,8,,1178.3243
traceA,fixed20,315,210.1,230.8,1,8,,1190.5150
traceA,fixed20,316,210.0,231.1,1,8,,1202.7233
traceA,fixed20,317,210.0,230.7,1,8,,1214.9384
traceA,fixed20,318,207.6,232.2,1,8,,1227.1659
traceA,fixed20,319,210.1,232.0,1,8,,1239.4062
traceA,fixed20,320,178.7,230.0,1,8,,1251.6508
traceA,fixed20,321,210.3,231.5,1,8,,1263.9074
traceA,fixed20,322,167.3,230.8,1,8,,1276.1645
traceA,fixed20,323,210.2,230.4,1,8,,1288.4322
traceA,fixed20,324,210.2,231.1,1,8,,1300.7019
traceA,fixed20,325,210.2,230.2,1,8,,1312.9758
traceA,fixed20,326,209.7,230.1,1,8,,1325.2577
traceA,fixed20,327,210.2,229.6,1,8,,1337.5370
traceA,fixed20,328,208.8,228.9,1,8,,1349.8225
traceA,fixed20,329,174.8,229.3,1,8,,1362.1027
traceA,fixed20,330,210.2,228.1,1,8,,1374.3864
traceA,fixed20,331,210.2,228.8,1,8,,1386.6676
traceA,fixed20,332,210.3,228.6,1,8,,1398.9452
traceA,fixed20,333,210.0,230.4,1,8,,1411.2259
traceA,fixed20,334,209.4,229.8,1,8,,1423.4978
traceA,fixed20,335,210.2,229.3,1,8,,1435.7699
traceA,fixed20,336,210.2,229.7,1,8,,1448.0316
traceA,fixed20,337,210.2,229.1,1,8,,1460.2897
traceA,fixed20,338,210.3,230.0,1,8,,1472.5413
traceA,fixed20,339,208.8,229.4,1,8,,1484.7817
traceA,fixed20,340,210.3,231.2,1,8,,1497.0205
traceA,fixed20,341,210.2,232.6,1,8,,1509.2448
traceA,fixed20,342,207.0,231.6,1,8,,1521.4633
traceA,fixed20,343,209.2,230.4,1,8,,1533.6671
traceA,fixed20,344,209.5,238.3,1,8,,1545.8601
traceA,fixed20,345,210.2,234.9,1,8,,1558.0430
traceA,fixed20,346,210.2,231.3,1,8,,1570.2078
traceA,fixed20,347,210.2,231.1,1,8,,1582.3661
traceA,fixed20,348,210.2,231.2,1,8,,1594.5052
traceA,fixed20,349,210.3,231.2,1,8,,1606.6324
traceA,fixed20,350,196.6,231.9,1,8,,1618.7411
traceA,fixed20,351,210.2,231.7,1,8,,1630.8322
traceA,fixed20,352,210.2,230.3,1,8,,1642.9097
traceA,fixed20,353,209.5,230.5,1,8,,1654.9631
traceA,fixed20,354,210.2,230.4,1,8,,1667.0050
traceA,fixed20,355,208.4,233.6,1,8,,1679.0238
traceA,fixed20,356,209.7,231.0,1,8,,1691.0247
traceA,fixed20,357,210.2,231.8,1,8,,1703.0040
traceA,fixed20,358,210.2,233.3,1,8,,1714.9594
traceA,fixed20,359,174.8,231.2,1,8,,1726.8977
traceA,fixed20,360,210.0,230.5,1,8,,1738.8069
traceA,fixed20,361,210.2,232.8,1,8,,1750.6996
traceA,fixed20,362,210.2,231.3,1,8,,1762.5661
traceA,fixed20,363,209.6,231.2,1,8,,1774.4089
traceA,fixed20,364,210.2,231.5,1,8,,1786.2276
traceA,fixed20,365,210.2,235.0,1,8,,1798.0166
traceA,fixed20,366,209.3,233.6,1,8,,1809.7852
traceA,fixed20,367,210.2,232.8,1,8,,1821.5207
traceA,fixed20,368,210.2,232.2,1,8,,1833.2349
traceA,fixed20,369,207.2,231.5,1,8,,1844.9205
traceA,fixed20,370,208.6,231.1,1,8,,1856.5769
traceA,fixed20,371,210.2,232.1,1,8,,1868.2071
traceA,fixed20,372,210.2,232.7,1,8,,1879.8027
traceA,fixed20,373,210.3,232.4,1,8,,1891.3749
traceA,fixed20,374,198.0,230.3,1,8,,1902.9109
traceA,fixed20,375,206.9,232.0,1,8,,1914.4208
traceA,fixed20,376,210.2,231.9,1,8,,1925.9006
traceA,fixed20,377,210.2,235.0,1,8,,1937.3464
traceA,fixed20,378,210.2,234.0,1,8,,1948.7641
traceA,fixed20,379,210.2,231.4,1,8,,1960.1434
traceA,fixed20,380,195.8,231.1,1,8,,1971.4963
traceA,fixed20,381,209.5,231.2,1,8,,1982.8108
traceA,fixed20,382,210.1,231.0,1,8,,1994.0951
traceA,fixed20,383,210.2,236.4,1,8,,2005.3483
traceA,fixed20,384,196.8,233.1,1,8,,2016.5634
traceA,fixed20,385,203.6,234.1,1,8,,2027.7488
traceA,fixed20,386,209.1,233.2,1,8,,2038.8930
traceA,fixed20,387,210.2,230.9,1,8,,2050.0082
traceA,fixed20,388,208.6,230.1,1,8,,2061.0838
traceA,fixed20,389,210.1,234.1,1,8,,2072.1255
traceA,fixed20,390,210.2,229.8,1,8,,2083.1355
traceA,fixed20,391,190.9,231.2,1,8,,2094.1045
traceA,fixed20,392,210.2,230.8,1,8,,2105.0426
traceA,fixed20,393,209.4,231.7,1,8,,2115.9375
traceA,fixed20,394,210.2,232.9,1,8,,2126.8012
traceA,fixed20,395,210.1,232.1,1,8,,2137.6252
traceA,fixed20,396,210.2,233.7,1,8,,2148.4120
traceA,fixed20,397,210.2,230.4,1,8,,2159.1673
traceA,fixed20,398,210.2,231.4,1,8,,2169.8795
traceA,fixed20,399,210.2,233.5,1,8,,2180.5600
traceA,fixed20,400,208.0,231.1,1,8,,2191.1966
traceA,fixed20,401,210.2,231.5,1,8,,2201.8001
traceA,fixed20,402,209.9,231.4,1,8,,2212.3646
traceA,fixed20,403,208.5,235.4,1,8,,2222.8896
traceA,fixed20,404,198.0,231.9,1,8,,2233.3835
traceA,fixed20,405,209.4,231.3,1,8,,2243.8336
traceA,fixed20,406,209.9,231.0,1,8,,2254.2515
traceA,fixed20,407,210.2,232.3,1,8,,2264.6258
traceA,fixed20,408,210.0,231.6,1,8,,2274.9657
traceA,fixed20,409,209.7,230.3,1,8,,2285.2683
traceA,fixed20,410,209.9,232.0,1,8,,2295.5297
traceA,fixed20,411,210.2,232.2,1,8,,2305.7613
traceA,fixed20,412,209.9,231.2,1,8,,2315.9493
traceA,fixed20,413,207.4,230.7,1,8,,2326.1052
traceA,fixed20,414,209.9,234.7,1,8,,2336.2189
traceA,fixed20,415,210.2,225.8,1,8,,2346.2973
traceA,fixed20,416,208.5,236.9,1,8,,2356.3410
traceA,fixed20,417,208.3,235.3,1,8,,2366.3430
traceA,fixed20,418,210.2,233.6,1,8,,2376.3168
traceA,fixed20,419,210.2,231.7,1,8,,2386.2486
traceA,fixed20,420,210.2,232.5,1,8,,2396.1487
traceA,fixed20,421,209.8,233.7,1,8,,2406.0092
traceA,fixed20,422,210.2,231.4,1,8,,2415.8344
traceA,fixed20,423,209.7,231.2,1,8,,2425.6279
traceA,fixed20,424,210.2,231.6,1,8,,2435.3804
traceA,fixed20,425,210.2,233.9,1,8,,2445.1070
traceA,fixed20,426,209.0,232.7,1,8,,2454.7942
traceA,fixed20,427,210.2,233.3,1,8,,2464.4508
traceA,fixed20,428,208.2,232.8,1,8,,2474.0716
traceA,fixed20,429,208.6,232.5,1,8,,2483.6576
traceA,fixed20,430,209.3,231.8,1,8,,2493.2158
traceA,fixed20,431,209.9,231.4,1,8,,2502.7348
traceA,fixed20,432,209.8,234.4,1,8,,2512.2308
traceA,fixed20,433,209.3,232.7,1,8,,2521.6913
traceA,fixed20,434,209.9,232.4,1,8,,2531.1228
traceA,fixed20,435,208.4,231.6,1,8,,2540.5233
traceA,fixed20,436,209.5,233.0,1,8,,2549.8903
traceA,fixed20,437,209.9,232.5,1,8,,2559.2343
traceA,fixed20,438,209.9,231.1,1,8,,2568.5420
traceA,fixed20,439,207.3,231.9,1,8,,2577.8301
traceA,fixed20,440,209.7,230.8,1,8,,2587.0880
traceA,fixed20,441,209.9,232.5,1,8,,2596.3190
traceA,fixed20,442,209.7,233.1,1,8,,2605.5246
traceA,fixed20,443,209.9,232.4,1,8,,2614.6993
traceA,fixed20,444,209.9,231.3,1,8,,2623.8563
traceA,fixed20,445,179.1,230.6,1,8,,2632.9811
traceA,fixed20,446,206.6,231.1,1,8,,2642.0902
traceA,fixed20,447,210.2,231.2,1,8,,2651.1755
traceA,fixed20,448,208.6,231.8,1,8,,2660.2369
traceA,fixed20,449,210.1,230.0,1,8,,2669.2793
traceA,fixed20,450,210.2,230.9,1,8,,2678.2944
traceA,fixed20,451,210.2,229.3,1,8,,2687.2977
traceA,fixed20,452,210.1,229.3,1,8,,2696.2742
traceA,fixed20,453,210.2,230.0,1,8,,2705.2394
traceA,fixed20,454,204.8,227.2,1,8,,2714.1882
traceA,fixed20,455,210.2,233.0,1,8,,2723.1169
traceA,fixed20,456,210.2,220.9,1,8,,2732.0339
traceA,fixed20,457,208.4,232.2,1,8,,2740.9281
traceA,fixed20,458,208.3,233.3,1,8,,2749.8169
traceA,fixed20,459,210.1,222.9,1,8,,2758.6857
traceA,fixed20,460,210.2,230.8,1,8,,2767.5480
traceA,fixed20,461,210.2,232.4,1,8,,2776.4021
traceA,fixed20,462,210.1,231.2,1,8,,2785.2411
traceA,fixed20,463,209.8,231.8,1,8,,2794.0761
traceA,fixed20,464,210.2,234.3,1,8,,2802.8940
traceA,fixed20,465,210.2,233.3,1,8,,2811.7133
traceA,fixed20,466,210.0,232.4,1,8,,2820.5204
traceA,fixed20,467,209.9,233.0,1,8,,2829.3264
traceA,fixed20,468,210.1,231.7,1,8,,2838.1333
traceA,fixed20,469,210.1,231.6,1,8,,2846.9309
traceA,fixed20,470,205.2,231.6,1,8,,2855.7327
traceA,fixed20,471,210.0,235.3,1,8,,2864.5243
traceA,fixed20,472,210.0,233.3,1,8,,2873.3243
traceA,fixed20,473,184.5,231.3,1,8,,2882.1212
